Day,Line,Packed,Rejects,Actual Runtime,Change Over Downtime,Running Downtime,Theoretical,Lost Time,Availability,Performance,Quality,OEE
Mon PrePack AM,Line 1,16782,1372,357,61,12,21420,0.152474323,0.830232558,0.847525677,0.924424369,0.650465116
Mon PrePack AM,Line 2,8732,1634,305,55,68,14768,0.298076923,0.712616822,0.701923077,0.842369284,0.421354963
Mon PrePack AM,Line 3,7412,2163,206,78,110,10084,0.050476002,0.52284264,0.949523998,0.774099217,0.384302821
Mon PrePack AM,Line 4,392,0,21,0,13,588,0.333333333,0.617647059,0.666666667,1,0.411764706
Mon PrePack AM,Line 5,14592,748,273,56,101,17472,0.12202381,0.634883721,0.87797619,0.951238592,0.530232558
Mon PrePack AM,Line 6,4704,301,189,14,42,5322,0.059564074,0.771428571,0.940435926,0.93986014,0.681848929
Mon PrePack AM,Line 7,0,0,0,0,0,0,0,0,0,0,0
Mon PrePack AM,Line 8,10092,938,287,77,67,11994,0.08037352,0.665893271,0.91962648,0.914959202,0.560296389
